~scene_number~episode~scene
0~0~1~Central Perk, Chandler, Joey, Phoebe, and Monica are there
1~1~1~The Subway, Phoebe is singing for change
2~2~1~Ross's Apartment, the guys are there assembling furniture
3~3~1~A Restaurant, Monica and Paul are eating
4~4~1~Ross's Apartment; Ross is pacing while Joey and Chandler are working on some more furniture
5~5~1~Monica's Apartment, Rachel is watching Joanne Loves Chaci
6~6~1~Ross's Apartment, they're all sitting around and talking
7~7~1~Monica's Apartment, Rachel is making coffee for Joey and Chandler
8~8~1~Iridium, Monica is working as Frannie enters
9~9~1~Central Perk, everyone but Rachel is there
10~10~1~Monica and Rachel's, everyone is sitting around the kitchen table.  Rachel's credit cards are spread out on the table along with a pair of scissors
11~11~1~Central Perk, everyone is there
12~12~2~Central Perk, everyone is there
13~13~2~Museum of Prehistoric History, Ross and a co-worker (Marsha) are setting up an exhibit which includes some mannequins of cave people
14~14~2~Monica and Rachel's, Chandler, Joey, Phoebe, and Monica are watching Three's Company
15~15~2~Central Park, everyone's there
16~16~2~Carol's OB/GYN, Carol is waiting
17~17~2~Carol's OB/GYN, they're talking about how this is going to work
18~18~2~Barry's office, Rachel is doing her makeup in the mirror on Barry's lamp as Barry enters
19~19~2~Carol's OB/GYN, they're still arguing about what to name the baby
20~20~2~Monica and Rachel's apartment, everyone is watching the tape of the sonogram.  Rachel is on the phone
21~21~3~Monica and Rachel's apartment, everyone is watching the tape of the sonogram.  Rachel is on the phone
22~22~3~Central Perk, everyone but Phoebe is there
23~23~3~Chandler and Joey's, Chandler is helping Joey rehearse for a part
24~24~3~Iridium, Monica and Paula are at work
25~25~3~Monica and Rachel's, Chandler is smoking out on the balcony, Phoebe is absent
26~26~3~Central Perk, Monica is alone as Ross, Rachel, Chandler, and Joey enter dejectedly in softball gear
27~27~3~A street, Phoebe walks up to a homeless person (Lizzie) she knows
28~28~3~A Street, Phoebe and Lizzie are at a hot dog vendor
29~29~3~Central Perk, Phoebe is telling everyone about her discovery
30~30~3~Iridium, Monica and Paula are working
31~31~3~Cental Perk, Joey and Ross are persecuting Chandler about his smoking
32~32~3~Monica and Rachel's, everyond except Monica and Joey is watching Lambchop
33~33~3~A Restaurant, Monica is breaking the news to Alan
34~34~3~Monica and Rachel's, everyone is mopping around and eating ice cream
35~35~4~Monica and Rachel's, everyone is mopping around and eating ice cream
36~36~4~Central Perk, everyone is there except Joey
37~37~4~Central Perk, Ross and Monica are watching Phoebe sleep
